Easting,Northing,UTM Zone,X,Y,OBJECTID,ABCDMisc,ADSPermissionState,CalculatedAcres,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,CreatedBySystem,ModifiedBySystem,IsDispatchComplete,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,Source,GlobalID,IsCpxChild,CpxName,CpxID
633355,4505709,T10,-121.4217134,40.69150526,2580,,CERTIFIED,0.1,,,0.1,0.1,CASIFC,,,,2021/03/11 17:46:45+00,,,,,Human,Camping,,NP40,,2020/10/31 04:26:12+00,,2020/11/02 21:01:00+00,,,,,,,ONCC,,,,,,CAVE,,WF,FI,40.6915,-121.4217,,2020/10/31 04:44:59+00,{A6BC4282-814E-4A06-967F-112E1BFB6E05},,0,1,0,0,0,,6140,,,,Shasta,CASIFC,6089,FS,CALNF,,USFS,Federal,,,,,,,NC07,FS,CALNF,US-CA,Timber,TL3,,,,2020-CALNF-006140,No Decision,cfcad,INFORM_Inspector,0,,,2020/10/31 22:53:08+00,2021/03/11 17:46:52+00,IRWIN,{18545A5F-021A-4080-ACFB-8F745EA8777B},,,
698094,4879159,T10,-120.5276138,44.03884558,2656,EK2G,CERTIFIED,4019.6759,2020/09/01 00:59:59+00,2020/10/30 23:10:59+00,4020,0.1,ORCOC,6200000,,,2020/11/20 17:51:26+00,Minimal,Creeping,Smoldering,Smoldering,Natural,Lightning,,NF73,,2020/08/16 21:36:00+00,Type 4 Incident,2020/11/20 17:25:00+00,0,100,0,0,P6,607,NWCC,2020/09/01 21:45:00+00,2020/09/01 21:30:00+00,2020/09/01 21:45:00+00,F,Type 4 IC,FROG 0657 RS,8-miles south of Post,WF,FI,44.0337,-120.5225,,2020/08/16 22:30:00+00,{7AC33794-5C08-477B-8F4C-349453D2338B},,0,1,1,1,0,0,657,100,100,Post,Crook,ORCOC,41013,FS,OROCF,,USFS,Federal,,,,,,,NW06,FS,OROCF,US-OR,Timber,TL9,Timber (Grass and Understory),Brush (2 feet),92,2020-OROCF-000657,Approved Decision,wildcad,INFORM_Inspector,0,Type 2 Incident,2020/08/23 19:15:42+00,2020/08/16 23:18:39+00,2020/11/20 17:51:26+00,IRWIN,{568AFFF6-7B39-4658-A08B-22D46C0F8E32},,,
909370,4931132,T10,-117.8579135,44.41761587,3082,,CERTIFIED,3696.0297,2020/08/28 00:00:00+00,2020/09/09 23:29:59+00,3696,1855,ORVAC,670000,,,2020/11/20 18:04:14+00,Minimal,Smoldering,Smoldering,Smoldering,Natural,Lightning,,NF1M,,2020/08/17 22:46:00+00,Type 4 Incident,2020/10/19 18:00:00+00,0,100,0,0,PD,1502,NWCC,2020/08/31 00:00:00+00,2020/08/29 23:00:00+00,2020/08/31 00:00:00+00,F,Type 4 IC,BALDY,"6 MILES NORTH EAST OF IRONSIDE, OR",WF,FI,44.43858,-117.8392,,2020/08/17 22:54:59+00,{25194918-0133-4154-8B62-6C884154BBCD},,0,1,1,0,1,0,155,100,100,,Malheur,ORVAC,41045,BLM,ORVAD,,BLM,Federal,,,,,,,NW11,BLM,ORVAD,US-OR,Grass-Shrub,GS2,Brush (2 feet),Short Grass (1 foot),3,2020-ORVAD-000155,Approved Decision,wildcad,INFORM_Inspector,0,Type 4 Incident,2020/08/25 22:03:56+00,2020/08/18 02:00:50+00,2020/11/20 18:04:14+00,IRWIN,{B0B29D20-A276-428D-A4FE-B1EC61ED88C8},,,
602163,4586936,T10,-121.7773136,41.42749528,3180,,CERTIFIED,10.62,2020/05/11 23:29:59+00,2020/05/12 21:59:59+00,10.5,0.1,CARICC,,,,2021/01/14 19:03:01+00,,,,,Human,Equipment,Small Engine Equipment,M3ZT,,2020/05/11 20:12:00+00,,2020/05/21 18:49:59+00,,,,,P5,514,ONCC,,,,,,HARRIS,,WF,FI,41.42749,-121.7773,10.5,2020/05/11 20:12:00+00,{FE860B69-5999-408E-A3AC-4D48908C0C5A},1,0,0,0,0,1,,545,,,,Siskiyou,CARICC,6093,FS,CASHF,,USFS,Federal,,,,,,,NC04,FS,CASHF,US-CA,Timber,TU5,,,,2020-CASHF-000545,No Decision,wildcad,INFORM_Inspector,0,,,2020/05/11 20:18:13+00,2021/01/14 19:03:01+00,IRWIN,{1940E083-9AD9-44D9-B51E-881E9B8FF079},,,
743716,4535889,T10,-120.1050133,40.93780539,3307,,DEFAULT,10702.8156,2015/08/18 00:59:59+00,2015/08/18 00:59:59+00,10570,,,5500000,,,,,,,,Human,,,J0SD,,2015/08/03 21:17:59+00,Type 4 Incident,2015/10/14 18:59:59+00,,,,,,,ONCC,2015/08/17 12:59:59+00,2015/08/18 00:45:00+00,2015/08/17 12:59:59+00,F,Type 4 IC,DODGE,,WF,FI,,,,,{1C12212A-65A9-4139-837B-05F6136AAD75},,0,1,0,0,0,,3806,100,,,Lassen,,6035,,CANOD,,BLM,Federal,,,,,,,,,CANOD,US-CA,,,Brush (2 feet),,29,2015-CANOD-003806,,firecode,wfdss,0,,,2015/08/03 21:55:59+00,2015/10/14 19:35:20+00,IRWIN,{6EE863D7-E355-4CA6-9980-9214D2F020D1},,,
1046446,4621439,T10,-116.4487127,41.55767275,3571,,DEFAULT,2784.7947,2017/07/17 19:02:00+00,2017/07/17 19:02:00+00,1559,500,NVEIC,90000,,,,Minimal,Creeping,Smoldering,,Natural,,,K5MP,,2017/07/15 02:29:00+00,Type 4 Incident,2017/07/28 03:00:00+00,,,,,PD,1502,GBCC,2017/07/16 12:59:59+00,2017/07/15 12:59:59+00,2017/07/16 12:59:59+00,F,Type 4 IC,Cornucopia,"43 miles north of Midas, NV",WF,FI,41.563167,-116.394833,500,,{26A99F6E-75AC-4BC9-B6D4-1D926C8F8B81},,0,1,0,0,0,0,10221,25,100,"Tuscarora, NV",Elko,,32007,,NVEKD,,,,,,,,,,GB10,BLM,NVEKD,US-NV,,,Brush (2 feet),Tall Grass (2.5 feet),73,2017-NVEKD-010221,,wildcad,wildcad,0,,,2017/07/15 05:00:15+00,2020/02/07 23:02:33+00,IRWIN,{F1FAA3D5-853C-4B25-AD76-24FA2DBFC56F},1,Four Seasons Complex,{C6F64877-DC59-4685-A1B1-805D164A2F20}
618789,4741076,T10,-121.5470138,42.8130354,3984,,DEFAULT,618.9022,2016/06/12 00:59:59+00,2016/06/17 15:00:00+00,497,2.5,ORLFC,805103,,,,Minimal,Creeping,Creeping,,Natural,,,J9Y9,,2016/06/06 02:21:00+00,Type 3 Incident,2016/09/16 23:45:59+00,,100,,,P6,602,NWCC,2016/06/12 00:45:00+00,2016/06/11 00:59:59+00,2016/06/12 00:45:00+00,F,Type 3 Team,Draw,,WF,FI,42.8129,-121.5537,5,,{7079D38D-1F51-4F67-B9C7-744C0D755263},,0,1,0,0,0,,136,100,,Chiloquin,Klamath,,41035,,ORFWF,,USFS,Federal,Willamette,SE,NE,10E,8,32S,NW07,FS,ORFWF,US-OR,,,Timber (Litter and Understory),Closed Timber Litter,25,2016-ORFWF-000136,Approved Decision,wildcad,wildcad,0,,,2016/06/06 17:52:13+00,2016/09/16 23:46:12+00,IRWIN,{46F659C2-438D-4EB8-A0B9-9D12AAB9B0B8},,,
1016568,5035023,T10,-116.4137134,45.27842607,4015,,CERTIFIED,224.11,2020/11/10 18:00:00+00,2020/11/10 18:00:00+00,219,1,IDGVC,30000,,,2022/01/05 18:31:14+00,Minimal,,,,Human,Camping,,NP7M,,2020/10/31 14:02:00+00,Type 4 Incident,2020/11/10 18:00:00+00,0,0,50,50,P1,117,NRCC,2020/11/10 20:00:00+00,2020/11/05 20:00:00+00,2020/11/10 20:00:00+00,F,Type 4 IC,Cougar,"6 miles SW of Pollock, ID",WF,FI,45.32224,-116.4132,,2020/10/31 14:03:00+00,{938B3F4B-8C3B-45CB-98FF-4656CC4ECA5C},,0,1,0,0,0,0,900,0,0,Pollock,Idaho,IDGVC,16049,FS,IDNCF,,USFS,Federal,,,,,,,NR06,FS,IDNCF,US-ID,Grass-Shrub,GS1,Short Grass (1 foot),Brush (2 feet),0,2020-IDNCF-000900,No Decision,wildcad,INFORM_Inspector,0,,,2020/10/31 18:07:19+00,2022/01/05 18:31:14+00,IRWIN,{969F7127-D6A0-4C1D-803C-7861E528BFE7},0,,
662457,4584438,T10,-121.0567135,41.39508534,4246,,DEFAULT,3042.6575,2018/08/30 00:59:59+00,2018/12/10 18:14:59+00,39387,0.1,CAMICC,16900000,,,,Minimal,Creeping,Smoldering,Backing,Natural,,,L3GU,,2018/08/15 15:08:00+00,Type 2 Incident,2018/12/10 18:16:00+00,0,100,0,0,,509,ONCC,2018/08/30 12:59:59+00,2018/08/30 00:59:59+00,2018/08/30 12:59:59+00,F,Type 2 Team,STONE,"10 miles WSW Canby, CA. 14 Miles NW of Adin, CA.",WF,FI,41.37873,-121.0128,0.5,,{FA54DA8D-9C94-4CD6-9C30-F7EF25522803},,0,0,0,0,0,,1193,100,100,,Modoc,CAMICC,6049,FS,CAMDF,,USFS,Federal,Mount Diablo,SW,NW,8E,16,41N,NC06,FS,CAMDF,US-CA,,,Timber (Litter and Understory),Brush (2 feet),266,2018-CAMDF-001193,Approved Decision,wildcad,wildcad,0,,,2018/08/15 17:10:31+00,2019/01/29 23:23:11+00,IRWIN,{ADC0B514-56FB-4CCC-8E2C-6824D216A2FF},,,
560962,4861779,T10,-122.2408141,43.90660541,4440,EK2R,DEFAULT,2.3018,2019/11/25 23:42:59+00,2019/11/25 23:42:59+00,1.5,1.3,OREIC,,,,,,,,,Natural,,,,,2019/09/05 23:00:48+00,,2019/11/25 23:42:59+00,,,,,P6,618,NWCC,,,,,,410 MF,,WF,FI,43.90324,-122.221,1.25,,{F4663AA0-5BF9-4E65-8DE8-B45E7C1747CA},,0,0,0,0,0,,190410,,,,Lane,OREIC,41039,FS,ORWIF,,USFS,Federal,,,,,,,NW04,FS,ORWIF,US-OR,,,,,,2019-ORWIF-190410,No Decision,wildcad,wildcad,0,Type 4 Incident,,2019/09/07 23:54:59+00,2019/12/12 17:59:01+00,IRWIN,{CB42F6A0-30CB-44FA-9604-339AFB89D346},,,
620256,4475308,T10,-121.5824804,40.41972222,4476,EK5R,CERTIFIED,0.1,,,0.1,0.1,CASIFC,,,,2020/09/18 21:30:11+00,,,,,Natural,Lightning,,,,2020/08/17 21:10:41+00,,2020/08/21 21:59:59+00,,,,,P5,,ONCC,,,,,,L-3 GLASS,,WF,FI,40.419717,-121.582467,,2020/08/17 21:20:00+00,{1A28EEDE-A869-479B-B729-013B19A43785},,0,,,,,,4688,,,,Tehama,CASIFC,6103,FS,CALNF,,USFS,Federal,,,,,,,NC07,FS,CALNF,US-CA,Timber,TL4,,,,2020-CALNF-004688,No Decision,cfcad,INFORM_Inspector,0,,,2020/08/18 04:55:31+00,2020/09/18 21:30:12+00,IRWIN,{C0087C45-096A-4273-BBA6-1330C6EC966A},,,
747385,4828447,T10,-119.9366137,43.56794561,4540,,DEFAULT,52195.884,2017/08/11 00:59:59+00,2017/10/01 18:59:59+00,52531,0.1,ORBIC,4400000,,,,Minimal,Smoldering,Creeping,Creeping,Human,,,K8UQ,,2017/08/02 19:54:59+00,Type 4 Incident,2017/10/16 18:59:59+00,0,100,0,0,,1502,NWCC,2017/08/17 15:59:59+00,2017/08/16 15:59:59+00,2017/08/17 15:59:59+00,F,Type 4 IC,Cinder Butte,"Fire started off of Highway 20 approximately 10 miles west of Riley, OR.",WF,FI,43.57767,-119.9441,,,{F5CFECEF-1FAF-4D4D-ADE9-97E8717A28AA},,0,1,0,0,0,0,7092,100,100,"Riley, OR",Lake,,41037,,ORPRD,,BLM,Federal,,,,,,,NW12,BLM,ORBUD,US-OR,,,Short Grass (1 foot),Brush (2 feet),6,2017-ORBUD-007092,Approved Decision,wildcad,wildcad,0,,,2017/08/02 20:47:09+00,2017/10/16 22:23:12+00,IRWIN,{E3C7431B-6C67-48DE-8149-0A4240CC574B},,,
573379,4984420,T10,-122.0688143,45.0094355,4564,,DEFAULT,21.873,2018/07/18 14:45:59+00,2018/07/23 20:58:59+00,18,4,WACCC,,,,,,,,,Human,,,L0JM,,2018/07/15 18:58:00+00,,2018/08/06 23:29:59+00,,,,,P6,606,NWCC,,,,,,COLLAWASH,,WF,FI,45.00602,-122.0623,4,,{1924F730-47B1-4642-8B14-1140D3F99892},,0,0,0,1,0,,311,,,,Clackamas,WACCC,41005,FS,ORMHF,,USFS,Federal,,,,,,,NW03,FS,ORMHF,US-OR,,,,,,2018-ORMHF-000311,Approved Decision,wildcad,wildcad,0,,,2018/07/15 21:09:54+00,2018/08/13 23:02:51+00,IRWIN,{51BBE151-21F6-4BE8-B315-0C5EB62BAF8E},,,
501259,4733643,T10,-122.984614,42.75531527,5233,,DEFAULT,63.5344,2018/08/22 00:51:00+00,2018/08/26 19:28:00+00,35,0.1,ORRICC,,,,,,,,,Natural,,,L0VM,,2018/07/16 23:48:59+00,,2018/10/28 17:00:00+00,,,,,P6,615,NWCC,,,,,,RAILROAD GAP,,WF,FI,42.74539,-122.9799,35,,{B606B1E2-4D63-406B-8A3F-8232465DD802},,0,0,0,0,0,,260,,,,Jackson,ORUPC,41029,FS,ORUPF,,USFS,Federal,,,,,,,NW04,FS,ORUPF,US-OR,,,,,,2018-ORUPF-000260,Approved Decision,wildcad,wildcad,0,,,2018/07/17 20:15:56+00,2018/11/15 16:30:13+00,IRWIN,{ECD5C228-5EFF-4184-83D4-77715BD32A38},,,
1071525,5150369,T10,-115.5825134,46.26566624,5423,EKT5,CERTIFIED,0.01,2020/07/11 19:43:00+00,2020/07/11 23:10:00+00,0.1,0.1,IDGVC,,,,2021/12/29 18:50:08+00,,,,,Natural,Lightning,,,,2020/07/11 01:41:45+00,,2020/07/12 00:08:00+00,,,,,P1,117,NRCC,,,,,,Cedar ,,WF,FI,46.30398,-115.6096,0.1,2020/07/11 15:03:00+00,{1B1C8D41-EAB2-4718-8CFC-2F285001F5AF},,0,1,0,0,0,,243,,,,Idaho,IDGVC,16049,FS,IDNCF,,USFS,Federal,,,,,,,NR03,FS,IDNCF,US-ID,Timber,TL5,,,,2020-IDNCF-000243,No Decision,wildcad,INFORM_Inspector,0,,,2020/07/11 15:41:38+00,2021/12/29 18:50:08+00,IRWIN,{7CD14EC0-3BA3-489C-AAEF-BEE15A508B9F},,,
